"filename", "language", "XML", "C#", "comment", "blank", "total"
"c:\Users\korby\Downloads\Cascade Launcher Alpha\App.xaml", "XML", 12, 0, 0, 1, 13
"c:\Users\korby\Downloads\Cascade Launcher Alpha\App.xaml.cs", "C#", 0, 33, 1, 9, 43
"c:\Users\korby\Downloads\Cascade Launcher Alpha\CascadeLauncher.csproj", "XML", 24, 0, 1, 5, 30
"c:\Users\korby\Downloads\Cascade Launcher Alpha\MainWindow.xaml", "XML", 105, 0, 6, 10, 121
"c:\Users\korby\Downloads\Cascade Launcher Alpha\MainWindow.xaml.cs", "C#", 0, 34, 0, 8, 42
"c:\Users\korby\Downloads\Cascade Launcher Alpha\Services\Downloader.cs", "C#", 0, 86, 10, 11, 107
"c:\Users\korby\Downloads\Cascade Launcher Alpha\Services\GitHubService.cs", "C#", 0, 64, 19, 14, 97
"c:\Users\korby\Downloads\Cascade Launcher Alpha\Services\Http.cs", "C#", 0, 22, 4, 5, 31
"c:\Users\korby\Downloads\Cascade Launcher Alpha\Services\Logger.cs", "C#", 0, 41, 5, 6, 52
"c:\Users\korby\Downloads\Cascade Launcher Alpha\Theme\WoodyTheme.xaml", "XML", 153, 0, 8, 9, 170
"Total", "-", 294, 280, 54, 78, 706
